Crop_Year,Area,Production
2000,102,321
2001,83,300
2002,189.2,510.84
2003,52,90.17
2004,52.94,72.57
2005,2.09,12.06
2010,3.5,10
2000,10779,31863
2001,9718,27033
2006,6854.3,18995.62
2010,6791,20118
2002,10695.8,31600.82
2003,10509.37,30760.7
2004,10681.98,29119.66
2005,8683.38,25870.98
2006,921.87,2539.64
2010,1595.5,3788
1997,35600,75400
1997,18000,37300
1998,38300,96800
1998,26600,63900
1999,37991,105082
1999,20258,45669
2000,39905,117680
2000,22099,57236
2001,32878,95609
2001,38119,108906
2002,29066,66329
2002,10960,20462
2003,17515,44891
2003,10826,25463
2004,24335,85051
2004,9240,21622
2005,25008,69972
2005,23142,55587
2006,22349,67427
2006,10846,31974
2007,30000,95000
2007,14000,37000
2008,30306,94615
2008,18416,49815
2009,32226,101512
2009,19428,46899
2010,34973,102007
2010,24828,69394
2011,37720,94531
2011,10948,25542
2012,22056,58691
2012,6998,17768
2013,28114,59377
2013,12283,28558
2014,22658,68155
2014,6553,14377
2014,29211,82532
1997,42300,84400
1997,57400,137400
1998,42000,105400
1998,62400,159200
1999,37542,75477
1999,37489,76800
2000,33776,89236
2000,41442,97181
2001,24377,55311
2001,62049,170573
2002,20137,50020
2002,30034,76827
2003,18495,38562
2003,27286,46714
2004,19055,43331
2004,25822,69177
2005,16240,37173
2005,66351,193612
2006,17049,42520
2006,29164,85101
2007,15000,42000
2007,37000,116000
2008,17596,46242
2008,37927,118636
2009,19758,56192
2009,35155,113937
2010,18019,53639
2010,43558,131502
2011,17342,55719
2011,33764,113211
2012,12952,45241
2012,34557,126168
2013,15206,48766
2013,34654,120249
2014,13304,44462
2014,27661,87962
2014,40965,132424
1997,214100,429300
1997,154400,491500
1998,256300,386600
1998,157600,656600
1999,244655,628606
1999,161551,645162
2000,253966,683423
2000,162861,683202
2001,220811,579850
2001,165779,750150
2002,194809,551115
2002,106427,491906
2003,234673,762453
2003,165321,869092
2004,224521,743614
2004,162903,766296
2005,217411,348727
2005,170012,800927
2006,227930,547716
2006,168963,845829
2007,242000,715000
2007,169000,803000
2008,240231,716609
2008,169861,796648
2009,202153,616567
2009,104423,456537
2010,237640,457704
2010,172888,849917
2011,197445,589741
2011,139649,587084
2012,232300,355651
2012,168756,746239
2013,235159,434104
2013,169523,777602
2014,226072,681833
2014,168045,881396
2014,394117,1563229
1997,295000,845300
1997,14500,51800
1998,298400,921400
1998,29100,99900
1999,302886,969414
1999,14822,53167
2000,292899,987363
2000,12692,49600
2001,272468,935110
2001,44917,181060
2002,202953,646811
2002,2716,7385
2003,170487,482990
2003,5772,16837
2004,240404,833961
2004,21247,70922
2005,288879,892636
2005,31434,111559
2006,288638,783941
2006,28933,100947
2007,283000,976000
2007,24000,85000
2008,281491,959321
2008,51358,187662
2009,190526,683226
2009,112342,383423
2010,271072,649760
2010,58393,201806
2011,281790,1080921
2011,11012,39060
2012,174699,607778
2012,8362,29903
2013,280060,912716
2013,48107,183288
2014,255607,1000190
2014,29695,111742
2014,285302,1111932
1997,47700,77500
1997,13000,27700
1998,59200,169800
1998,17000,41600
1999,54783,134484
1999,6828,12921
2000,60412,170120
2000,7426,6134
2001,38218,96883
2001,37550,98231
2002,27457,56424
2002,9203,16446
2003,23356,60025
2003,10767,24032
2004,46932,149619
2004,5689,11424
2005,45556,85828
2005,21197,55791
2006,41908,114493
2006,4997,10963
2007,45000,139000
2007,17000,45000
2008,50183,87168
2008,14883,41271
2009,52423,153757
2009,12894,34169
2010,53345,80657
2010,17037,48896
2011,47290,141161
2011,6606,17499
2012,24147,61551
2012,6601,19249
2013,51753,148842
2013,10959,29447
2014,42124,155648
2014,3761,10189
2014,45885,165837
1997,257900,699400
1997,116300,393500
1998,280800,759900
1998,134500,491200
1999,278415,834490
1999,127888,457596
2000,281343,868787
2000,112917,408308
2001,245114,714507
2001,98472,358635
2002,243910,761243
2002,2185,5688
2003,222367,526565
2003,7486,19359
2004,245306,804849
2004,10017,31584
2005,254919,697203
2005,104332,409399
2006,251433,521221
2006,94862,355638
2007,261000,944000
2007,94000,355000
2008,273878,959395
2008,120655,467900
2009,228196,784310
2009,108442,424984
2010,260350,722978
2010,94991,367710
2011,262826,980105
2011,9203,31437
2012,253166,908360
2012,11365,42244
2013,264371,773285
2013,98951,402236
2014,235212,788901
2014,52830,209894
2014,288042,998795
1997,66300,176900
1997,9000,23900
1998,75100,221700
1998,20900,44500
1999,81640,225431
1999,12430,35695
2000,93188,307427
2000,13909,38083
2001,43617,121779
2001,38162,98534
2002,47948,100499
2002,10974,24856
2003,34618,100635
2003,4966,11377
2004,61465,210702
2004,12058,37549
2005,88555,292586
2005,20079,65980
2006,80692,270238
2006,12475,36764
2007,90000,332000
2007,19000,51000
2008,84066,279856
2008,27383,97073
2009,81908,256454
2009,44772,157911
2010,104110,291475
2010,32967,105626
2011,91984,333882
2011,14738,46042
2012,72625,276774
2012,16840,60102
2013,92596,340383
2013,32298,118017
2014,91569,361514
2014,23329,82748
2014,114898,444262
1997,62000,124300
1997,74200,222100
1998,72100,206700
1998,73800,248900
1999,70189,190583
1999,54885,129541
2000,50601,156559
2000,96893,316840
2001,40841,134204
2001,106540,385888
2002,19256,46927
2002,46223,104325
2003,14621,41992
2003,31497,79278
2004,27435,95446
2004,66134,220491
2005,54390,144351
2005,95020,340932
2006,41191,124809
2006,79875,297215
2007,47000,173000
2007,80000,287000
2008,47434,167774
2008,83957,314503
2009,32959,117730
2009,96240,371390
2010,48878,143300
2010,107903,376150
2011,39122,134932
2011,79396,292098
2012,17820,64027
2012,33942,125959
2013,58034,213391
2013,80544,318874
2014,31764,121783
2014,73533,284132
2014,105297,405915
1997,48700,127600
1997,182100,544600
1998,44700,133400
1998,183300,542300
1999,45768,136695
1999,152441,407231
2000,55041,171563
2000,132867,367510
2001,34297,108413
2001,176106,597352
2002,45511,149276
2002,173384,522579
2003,17885,49756
2003,137031,364368
2004,19326,56432
2004,167421,576933
2005,18036,55190
2005,189671,713732
2006,60057,197167
2006,181863,659617
2007,46000,162000
2007,188000,695000
2008,65233,233795
2008,191854,763003
2009,67894,220248
2009,198993,783833
2010,69873,228485
2010,200990,777027
2011,53137,195269
2011,201435,836157
2012,53866,214710
2012,197403,811721
2013,32241,115455
2013,192652,795653
2014,62232,232561
2014,178491,736454
2014,240723,969015
1997,185700,278500
1997,600,2100
1998,194400,370700
1998,2000,7500
1999,189027,323525
1999,1703,5867
2000,207461,399155
2000,1100,2012
2001,178771,393654
2001,1584,3594
2002,153148,267550
2002,632,1602
2003,188219,421799
2003,2204,4496
2004,190795,448561
2004,2198,5743
2005,153521,271425
2005,4237,10105
2006,193994,491775
2006,3425,7223
2007,201000,613000
2007,2000,6000
2008,203172,408376
2008,2667,6190
2009,177058,371822
2009,2708,6407
2010,205853,167482
2010,7098,16822
2011,208239,399240
2011,2178,4593
2012,205859,520823
2012,2884,7870
2013,199717,347108
2013,3425,8158
2014,205485,434806
2014,4730,12866
2014,210215,447672
1997,95600,79700
1997,2700,8700
1998,114900,141300
1998,3800,14100
1999,103372,134010
1999,3053,10836
2000,115239,183345
2000,2969,6683
2001,86579,145020
2001,3744,7589
2002,61964,61344
2002,2028,3121
2003,84676,136836
2003,3961,7811
2004,95187,160771
2004,2621,3701
2005,84808,125007
2005,3821,7073
2006,93133,178070
2006,2614,5301
2007,96000,195000
2007,3000,6000
2008,99378,167253
2008,2679,5090
2009,65447,69112
2009,2974,4509
2010,110289,192378
2010,7262,9383
2011,109505,166766
2011,2617,2973
2012,98718,141562
2012,5046,10274
2013,98637,171530
2013,6759,13126
2014,98190,159755
2014,7238,18052
2014,105428,177807
1997,130500,185600
1997,1000,3200
1998,133000,295600
1998,3600,13300
1999,132185,250846
1999,1985,6943
2000,129907,214347
2000,2163,5996
2001,106296,199624
2001,3864,10085
2002,93995,115426
2002,594,1558
2003,108694,228366
2003,4382,10679
2004,125205,291352
2004,2370,3979
2005,94336,131127
2005,3750,9529
2006,117452,281532
2006,1000,1803
2007,124000,362000
2007,3000,7000
2008,128964,307966
2008,1695,4043
2009,104550,229801
2009,3683,9285
2010,126290,325213
2010,7254,23452
2011,123491,265106
2011,1078,2639
2012,119079,306509
2012,6690,14310
2013,109271,270446
2013,7507,20479
2014,119229,314526
2014,5357,17314
2014,124586,331840
1997,247200,630400
1997,193600,678100
1998,262000,646400
1998,194300,849100
1999,267083,685440
1999,193377,780930
2000,272901,794415
2000,198764,858462
2001,222720,576622
2001,191480,896509
2002,214554,659110
2002,117074,506579
2003,232235,812590
2003,177983,867133
2004,244235,842122
2004,175761,807446
2005,253521,475859
2005,192497,887411
2006,245236,682001
2006,188804,875107
2007,254000,825000
2007,192000,814000
2008,255444,778593
2008,195014,821789
2009,212887,660163
2009,115690,454893
2010,256147,558800
2010,200369,931515
2011,240266,764242
2011,123519,544225
2012,242832,482993
2012,179674,806377
2013,240396,521419
2013,180223,820916
2014,231475,733313
2014,177811,891011
2014,409286,1624324
2004,3342,1914
2005,3400,5000
2006,4060,3004
2007,4085,2530
2008,3901,2516
2009,3945,2355.33
2010,3949,3631
2011,3489,2988
2012,3561,2996
2013,3561,2624
2014,3561,2394
1997,11500,13800
1998,11550,14316
1999,11600,13733
2000,11925,16387
2001,11857,16250
2002,11860,16780
2003,11867,18508
2004,11885,18630
2005,11905,18667
2006,6191,10606
2007,15622,27398
2008,16763,35010
2009,8519,15639.33
2010,9585,18265
2011,10260,20873
2012,9605,19512
2013,9681,19750
2014,9081,20169
1997,10310,12400
1998,10320,12900
1999,10000,13237
2000,10450,13400
2001,5400,3840
2002,1691,1522
2003,1700,1700
2004,916,870
2005,1000,691
2006,1235,1273
2007,1200,839
2008,1200,839
2009,1200,838.66
2010,1585,1268
2011,1610,1382
2012,1682,1420
2013,1690,1486
2014,1690,1485
1997,8945,9200
1998,8045,8190
1999,9595,12665
2000,8200,9840
2001,12310,16790
2002,8500,10715
2003,8510,10725
2004,8515,6651
2005,8538,3158
2006,8235,6313
2007,8200,6952
2008,8250,6933
2009,8260,6993.33
2010,8267,7178
2011,8398,7822
2012,8768,8442
2013,8968,9087
2014,8968,9436
1997,10200,15525
1998,7323,12600
1999,11600,19261
2000,12310,19500
2001,5400,5000
2002,12330,26605
2003,12100,28000
2004,12526,17499
2005,12800,19535
2006,13137,19729
2007,13000,19799
2008,13142,19761
2009,14147,20775.33
2010,15137,24103
2011,15378,26268
2012,16770,27098
2013,16770,27044
2014,16120,27463
2002,6300,7440
2003,7434,6375
2004,6300,7434
2005,6375,7530
2006,6000,5095
2007,500,615
2008,500,615
2009,500,615.33
2010,400,527
2011,406,574
2012,410,590
2013,53,74
2014,53,74
1997,15070,19600
1998,13015,18221
1999,14000,20900
2000,13980,13630
2001,10900,14170
2002,14158,12883
2003,14257,19390
2004,8227,9872
2005,8500,11759
2006,10500,17010
2007,10300,16833
2008,10412,17952
2009,11770,19541.33
2010,11654,20263
2011,11839,22082
2012,12239,23512
2013,12150,21662
2014,11450,22080
2013,2890,2504
2014,2890,2923
2002,9580,13500
2003,9650,11100
2004,9655,14895
2005,9700,15035
2006,10736,14149
2007,10950,13477
2008,11059,13610
2009,11169,8934.66
2010,11180,13760
2011,11357,14995
2012,11460,14822
2013,14595,16058
2014,13906,16479
1997,21064,19900
1998,21585,15045
1999,22000,10500
2000,18150,18150
2001,4350,3500
2002,14800,17465
2003,8460,10152
2004,9306,11167
2005,9500,11600
2006,9643,12075
2007,7685,9459
2008,7839,9647
2009,10193,12544.66
2010,8155,10655
2011,8285,1161
2012,8290,14358
2013,8373,14792
2014,7673,15210
1997,6938,8400
1998,7100,6880
1999,7000,6800
2000,7275,7520
2001,7940,8270
2002,8050,8500
2003,8470,9825
2004,9015,10277
2005,9300,11615
2006,10180,15139
2007,9005,13854
2008,9025,14347
2009,9076,15822.66
2010,9083,14684
2011,9227,16002
2012,9975,16753
2013,12025,22686
2014,11325,23105
1997,868,1050
1998,890,1112
1999,900,1170
2000,902,1205
2001,902,1190
2002,907,1210
2003,911,1221
2004,911,1230
2005,777,1057
2006,770,1082
2007,770,1082
2008,758,758
2009,760,785.33
2010,765,795
2011,777,866
2012,835,930
2013,835,879
2014,835,1298
1997,5345,3700
1998,5345,1942
1999,5354,5400
2000,5343,3036
2001,8300,10458
2002,5580,2490
2003,5582,3830
2004,5585,2383
2005,4612,2509
2006,5615,3961
2007,5500,3971
2008,5625,4062
2009,4995,2643.33
2010,5002,4073
2011,5082,4438
2012,5080,4487
2013,2280,1976
2014,2280,2908
1997,6200,5800
1998,6210,2890
1999,6250,5650
2000,5420,3850
2001,11450,16030
2002,5500,5400
2003,5500,5400
2004,6139,7669
2005,6200,7667
2006,6375,8087
2007,6300,7514
2008,6500,7501
2009,6605,7718
2010,6625,7742
2011,6730,8436
2012,6590,8285
2013,6615,8510
2014,6615,8794
1997,3915,2750
1998,4015,1500
1999,4300,2975
2000,4500,3600
2001,20500,16088
2002,4520,4695
2003,4550,5295
2004,4555,5296
2005,4800,6708
2006,5164,5063
2007,5100,11079
2008,5839,7739
2009,4328,5433.33
2010,4169,5681
2011,4235,6190
2012,4425,5935
2013,5062,9280
2014,5062,9698
1997,915,880
1998,913,806
1999,850,700
2000,855,756
2001,855,1163
2002,855,1160
2003,859,723
2004,908,727
2005,860,760
2006,854,774
2007,861,809
2008,880,939
2009,865,798.66
2010,866,799
2011,880,870
2012,867,890
2013,880,891
2014,880,1256
1997,18750,16500
1998,19170,17714
1999,19291,21816
2000,19291,21816
2001,19291,21872
2002,19953,22135
2003,19355,22345
2004,23857,18436
2005,24000,22900
2006,24343,21275
2007,24951,21935
2008,25106,22309
2009,25136,22455.33
2010,25148,22569
2011,25547,24596
2012,25528,24632
2013,25561,24801
2014,24811,25220
2005,17083,15415
2005,12650,17027
2005,66229,93287
2006,26235,23208
2006,12737,25691
2006,52195,67915
2007,21551,20266
2007,7124,14341
2007,58558,73246
2008,13587,18640
2008,11712,20949
2008,69495,124614
2009,13217,21279
2009,10524,16463
2009,68453,109965
2010,11562,13489
2010,6000,13150
2010,84168,134217
2011,10325,14340
2011,2500,5595
2011,85450,153149
2012,11780,16636
2012,2520,6137
2012,85485,157009
2013,10200,16672
2013,2750,5885
2013,85730,161484
2014,10800,18283
2014,3050,6509
2014,86070,195027
1997,83560,43512
1997,8850,12831
1997,103015,76589
1998,83355,46436
1998,16435,32739
1998,88835,93412
1999,83830,59762
1999,18637,57626
1999,104375,121735
2000,73675,60705
2000,25005,58014
2000,97175,120609
2001,56482,40845
2001,18510,39355
2001,97500,119034
2002,63725,38265
2002,16000,35031
2002,99500,111714
2003,58500,41992
2003,17400,37888
2003,99750,128640
2004,60760,7597
2004,19645,33526
2004,62225,74492
2005,51500,39916
2005,13897,20379
2005,52755,75339
2006,46504,29973
2006,15213,32963
2006,50173,51355
2007,33564,18202
2007,16829,37462
2007,53821,63911
2008,48880,43134
2008,42937,85624
2008,72524,92763
2009,50063,40476
2009,48309,121935
2009,73690,104134
2010,39756,33805
2010,51581,131465
2010,74406,148961
2011,27987,13767
2011,51708,174318
2011,78281,110441
2012,6346,1075
2012,52921,163375
2012,66597,107022
2013,19191,16796
2013,47877,158072
2013,67630,123146
2014,17551,18634
2014,49261,141830
2014,69154,102046
1997,29514,14056
1997,6366,5462
1997,56841,38596
1998,33335,28062
1998,6795,9580
1998,56133,54267
1999,32940,23441
1999,8414,12119
1999,57620,62814
2000,33157,30980
2000,9931,14064
2000,57625,58910
2001,33306,30266
2001,9967,16462
2001,57795,66814
2002,33750,29871
2002,9527,14838
2002,59640,78756
2003,34213,32358
2003,9569,12546
2003,58844,74327
2004,34147,23886
2004,9997,13155
2004,58690,72659
2005,29128,27125
2005,7814,14947
2005,39572,45530
2006,23189,16774
2006,7818,12188
2006,32545,31246
2007,22507,16954
2007,8132,19327
2007,35410,33297
2008,22147,20617
2008,9947,20907
2008,36346,41200
2009,20782,14732
2009,10028,23102
2009,34421,39073
2010,16142,12826
2010,10680,35104
2010,34806,52651
2011,15953,17728
2011,10507,31151
2011,36205,48899
2012,12922,16900
2012,10740,31907
2012,35931,57117
2013,11021,17595
2013,13070,38727
2013,32690,66164
2014,5865,7909
2014,11685,38969
2014,35299,69061
1997,8278,7956
1997,7200,7843
1997,88000,94250
1998,8500,11894
1998,6800,11220
1998,87641,179644
1999,7800,7199
1999,7800,13416
1999,87864,161235
2000,12000,26674
2000,8000,17616
